AATUJJYGUXNPAQ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QYZKTHKHIKFPBK-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
MGWYSHRUEURVJO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
WDMLGILMYXFNNL-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
XNMPPIXTIAEZHG-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
BFCZLURCVVADST-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
BWCHRLZQESRKBS-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
IDTVPFUJGIBOBV-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
MCXGSOSTUARHNV-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
CIDMLKLCHFLOJJ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
DSKXGFLYISEXRN-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
OQEKIVNLVJLMAK-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
NPPZACGNVVLCJL-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
UOWHKHBMOQRXHW-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
PNHRSYLWKAKAPJ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZZTVKRVXQBUYBT-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZQUCPDVRCHXXNX-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
DCAANFBMFKLTNF-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
OVKZCJRPESPZOX-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
NDZAFRDGXXAQSO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZQEVAGAFRGZROO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
NRVIWRVCKJDOGF-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
OVPMVNJTEQMJRI-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
XAIKLKZJEMBQAK-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
BNVIZVSIMQZXAF-UHFFFAOYSA-N	N-acyl-alpha-hexosamines	CHEMONTID:0002276
LHSWNXPCEXIVNT-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
JYVUJRZNVDPIMB-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
GRDITHWDAGASIZ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QUFYXXQWYBPRMI-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
RNPFDSXLPLEDMM-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
AHQKHXWHSBKWBF-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
RHWQAGZUPDSASN-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
LIJOCFSOTVSISU-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
DXAOSTHHBRVVIX-UHFFFAOYSA-N	Alanine and derivatives	CHEMONTID:0004314
IYDQZIMYFRZTFH-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
NPRMORQLTSSPIZ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
KIMMLRINVHEUPD-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
MXZJBHADVGDIAR-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
SGOWTHORODVCEN-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
XJTCPGTUAAQEEG-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
JPYHMSOYBVTUEI-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
LJFAWBNZDJDFIJ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
GMMZGEAMCAQHCV-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
ABGLJLAGXJOAPH-UHFFFAOYSA-N	N-acyl-alpha-hexosamines	CHEMONTID:0002276
NRPYOICDSRJAGI-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
XRTJFFYYLCCPOM-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
YURUOJANKZBALQ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
FPCZUZFTMWYVAB-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
HENMZGRBHDUMAC-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
KNIULAUDJGFYGC-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
OAYFEAGSTRGIIC-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZSWSQSFOQLWGKZ-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
WOUNQBWJKWJDGM-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
FVNWEEOYGOYOFH-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
RJEWWYYIWMKCHB-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
CKCQBIGQKPDZPF-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
LYNSTBCSHLTJOA-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VPTGLFQKEIOYQL-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
RHWQTOZRIIFPJT-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
MBVZKGXUHIQTJD-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
GLNUPMKWCLNQPW-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
NIUQINXZSQDEOW-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
AGOLVLVDIQGLBJ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
IUCPUDGAZFLMJL-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QOGUDRRNNUUIDX-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
HPWOJZBGUGAGKG-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
HEVQQUDOHITMPH-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
HYRQZKFKKWEUAY-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
WHOPXVCSWWTXHF-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
SRQBIAZXDJJKFE-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
AZMCLAKXGJERAK-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
XTVWXHSCDJNBAW-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
VZXKQADPQSCOME-UHFFFAOYSA-N	N-acyl-alpha-hexosamines	CHEMONTID:0002276
VCYLOYMVPCIDQK-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VNPJVUMULBPWCL-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
DKCIQQKJLAXHJU-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QAGSQAGVJRHTPI-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZXCGJAWEHWLALA-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
FIUGNIONPNSJNO-UHFFFAOYSA-N	Acylaminosugars	CHEMONTID:0000146
RESGFQSOGHETMC-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VZKMIUCIGZXYSX-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
RFADTDSHJOLQTD-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
BPXPXWFPHBEWAG-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
FXTBPMOYOUKOLD-UHFFFAOYSA-N	Saccharolipids	CHEMONTID:0003918
JVDAKPCIFWMLBT-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ITRZPVJVHBPDPA-UHFFFAOYSA-N	N-acyl-alpha-hexosamines	CHEMONTID:0002276
YRANRBBMFMQAPE-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
PCQZHHFPUBTRPR-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VARXPIQIBHRQLM-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
BARIQCNBRVDTLD-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
YBQIDEBNOUOOFY-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
CJQAAXIMDRPPCE-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VJSJUOKTVZJXAF-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZNFZCBFVSKZTIY-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
LYURRCDNZXAOSY-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
YESBUVHGEJRMDC-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
WEWUSEAOPKWPFB-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
GIAHTBOIVWZRTG-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
SYYPDZROFDXRQL-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
OIJVMJRITBJBPN-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
VOAYOHPMOGJIGQ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VFXYRLRHTGCAEL-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
MBKBUROPODRLNG-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
